bitmask,features,k,accuracy,scores,timestamp
51,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",82,0.7288642766928982,[0.68085106 0.71841705 0.75038052 0.73820396 0.7564688 ],2024-05-29 03:06:31.974090
52,"Index(['dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'contrast_0', 'contrast_1', 'contrast_2',
       'contrast_3', 'entropy'],
      dtype='object')",69,0.7255124842125718,[0.69148936 0.7108067  0.74733638 0.72754947 0.75038052],2024-05-29 03:09:30.465275
53,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'dissimilarity_0',
       'dissimilarity_1', 'dissimilarity_2', 'dissimilarity_3', 'contrast_0',
       'contrast_1', 'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",67,0.7276429195986177,[0.69300912 0.72298326 0.74733638 0.72907154 0.74581431],2024-05-29 03:12:42.204801
54,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'contrast_0', 'contrast_1', 'contrast_2',
       'contrast_3', 'entropy'],
      dtype='object')",87,0.7261250133007638,[0.67933131 0.70624049 0.75038052 0.74277017 0.75190259],2024-05-29 03:15:58.204002
55,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'dissimilarity_0', 'dissimilarity_1',
       'dissimilarity_2', 'dissimilarity_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",86,0.728558474784065,[0.68541033 0.71385084 0.75190259 0.73820396 0.75342466],2024-05-29 03:18:15.295578
56,"Index(['homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",108,0.726428039398019,[0.68389058 0.71993912 0.7412481  0.73515982 0.75190259],2024-05-29 03:21:20.055535
57,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",88,0.7261236253949749,[0.68389058 0.72450533 0.73820396 0.73972603 0.74429224],2024-05-29 03:24:35.093120
58,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",94,0.7264275767627559,[0.68541033 0.71841705 0.73515982 0.73972603 0.75342466],2024-05-29 03:27:53.429494
59,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",195,0.7267319907658002,[0.68541033 0.71385084 0.7412481  0.74733638 0.74581431],2024-05-29 03:30:09.874932
60,"Index(['dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'homogeneity_0', 'homogeneity_1', 'homogeneity_2',
       'homogeneity_3', 'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3',
       'entropy'],
      dtype='object')",32,0.72612131221866,[0.69148936 0.73515982 0.73820396 0.73363775 0.73211568],2024-05-29 03:33:35.201543
61,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'dissimilarity_0',
       'dissimilarity_1', 'dissimilarity_2', 'dissimilarity_3',
       'homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",71,0.7288591877050051,[0.69756839 0.7260274  0.7412481  0.73972603 0.73972603],2024-05-29 03:35:53.157933
62,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'homogeneity_0', 'homogeneity_1', 'homogeneity_2',
       'homogeneity_3', 'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3',
       'entropy'],
      dtype='object')",47,0.7273385055955734,[0.69300912 0.72146119 0.74885845 0.72907154 0.74429224],2024-05-29 03:38:11.015360
63,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'dissimilarity_0', 'dissimilarity_1',
       'dissimilarity_2', 'dissimilarity_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",115,0.7279482588721877,[0.6899696  0.70928463 0.74277017 0.7412481  0.7564688 ],2024-05-29 03:40:30.033120
